clade_name	116_R1	117_R1	129_R1	130_R1	186_R1	207_R1	208_R1	209_R1	212_R1	213_R1	224_R1	225_R1	255_R1	262_R1	264_R1	293_R1	295_R1	301_R1	307_R1
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium	7455	1726	135	7076	1965	0	17818	303	1067	0	16060	17060	0	0	0	0	0	664	7076
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Hungatella	8449	0	2545	0	0	0	0	0	2378	0	16760	0	0	0	0	0	0	0	79
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium	2465	0	78486	27995	0	0	185	426921	0	0	1990	18196	0	0	0	0	0	0	71248
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	2683	1757662	1312038	671795	326133	7286	918022	37943	508119	13537	969373	136476	1016091	900749	307165	27109	211728	127655	129776
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Coprobacter	3165	0	6087	717	0	0	0	0	9923	1825	0	0	0	859	12129	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria	1412	111	0	0	0	691	653	835	1530	1036	1130	530	105	2206	1207	1664	1111	2225	463
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified|g__Intestinimo0s	1060	0	0	1235	12652	0	880	0	113	0	0	0	0	0	0	0	255	0	4314
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces	681	0	0	0	0	0	0	0	0	144	0	158	80	157	390	573	0	386	1218
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Catenibacterium	1446	0	0	0	0	0	741	0	0	3337	1446	0	0	0	0	8048	2142	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter	1124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3439	0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrio0ceae|g__Bilophila	989	0	8982	993	0	12102	3389	6222	17241	1690	28914	15160	8625	5941	929	2766	1952	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Rothia	443	1254	0	0	197	496	457	818	213	82	2305	1353	1779	2054	2073	3542	952	1081	2299
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Gemella	340	0	0	0	0	0	0	0	0	0	0	400	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus	353	673	0	0	0	1695	0	132	0	0	1492	5010	0	0	0	0	0	1066	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromo0daceae|g__Porphyromo0s	246	795	0	0	0	219	29	30	21375	0	0	0	0	302	218	218	0	648	316
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella	242	0	0	0	0	0	0	0	0	0	0	0	511	0	0	0	458	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__A0eromassilibacillus	321	0	0	0	0	0	0	0	0	0	0	0	568	0	0	0	0	0	0
